parameter_name,Center average speed
gene_symbol,Opn3
pvalue,0.2143902
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1338022
analysis_id,1lp9eydj7r0rn50
parameter_id,HRWLLA_OFD_017_001
