analysis_id,7wgka524752f8k2
gene_accession_id,MGI:104805
mouse_strain,C57BL
parameter_id,IMPC_CBC_005_001
pvalue,0.8283924
parameter_name,Creatinine
gene_symbol,Snrpb2
mouse_life_stage,Early adult
