analysis_id,k86v2ubsh6i809w
parameter_name,Eye
gene_symbol,Maco1
pvalue,0.3243511
mouse_strain,C57BL
gene_accession_id,MGI:1913396
parameter_id,M-G-P_013_001_001
mouse_life_stage,Early adult
