gene_symbol,Cdkn2a
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
gene_accession_id,MGI:104738
mouse_strain,C59BL
mouse_life_stage,Early adult
pvalue,0.2164053
analysis_id,38u6v4jrdq44l8s
