parameter_id,UCD_OWT_003_001
mouse_life_stage,Middle aged adult
pvalue,0.851927
analysis_id,fcm50ib6t8jg5qj
gene_accession_id,MGI:1345282
parameter_name,Spleen weight
gene_symbol,Slc30a4
mouse_strain,C57BL
