parameter_id,MGP_CSD_066_001
analysis_id,ksvm3wnm193s162
parameter_name,Snout morphology
gene_symbol,Zyg11b
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
pvalue,0.6495651
mouse_strain,C57BL
