analysis_id,r5478167h94qr2k
gene_symbol,Tbl1xr1
parameter_name,Forelimb grip strength normalised against body weight
gene_accession_id,MGI:2441730
mouse_strain,C57BL
pvalue,0.9029783
parameter_id,JAXLA_GRS_010_001
mouse_life_stage,Late adult
