parameter_name,Center average speed
gene_symbol,Toporsl
analysis_id,yishrdii4a28c60
gene_accession_id,MGI:1915524
pvalue,0.06098076
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_017_001
