parameter_id,IMPC_GPO_002_001
analysis_id,8q11pignh8222ee
pvalue,0.9276819
parameter_name,Placenta Morphology
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
mouse_strain,C57BL
mouse_life_stage,Early adult
