analysis_id,15p6asfk2b8vbyj
pvalue,0.9542382
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
parameter_name,Tibia length
parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
gene_symbol,Sema6c
