parameter_name,Periphery - Permanence Time
gene_symbol,Mgst2
analysis_id,4y6jn7s0613w32j
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4174481
parameter_id,M-G-P_007_001_008
gene_accession_id,MGI:2448481
