parameter_name,Total bilirubin
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
parameter_id,IMPC_CBC_008_001
mouse_strain,C57BL
analysis_id,343f237876q1982
pvalue,0.9337505
mouse_life_stage,Early adult
