analysis_id,p2tu0i8r24h67z4
pvalue,0.6527397
parameter_name,CD4+ alpha beta T cell percentage
gene_symbol,Ola1
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
parameter_id,MGP_PBI_003_001
mouse_strain,C57BL
