parameter_name,Retinal Blood Vessels Pattern
parameter_id,IMPC_EYE_026_001
analysis_id,zcdc58h3fci22q7
gene_accession_id,MGI:1336200
gene_symbol,Hpca
pvalue,0.5416249
mouse_life_stage,Late adult
mouse_strain,C57BL
