parameter_id,ICS_FEA_019_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88380
gene_symbol,F2
analysis_id,cb7h48c571154h6
pvalue,0.830532
parameter_name,% Freezing duration pre-cue-2
