parameter_id,IMPC_HWT_008_001
mouse_life_stage,Early adult
pvalue,0.5603331
gene_symbol,Zc2hc1a
parameter_name,Heart weight
gene_accession_id,MGI:1914556
mouse_strain,C57BL
analysis_id,10z34h1zq5n6l8q
