parameter_name,Pericardium Morphology
analysis_id,5t62864bljv1h25
parameter_id,IMPC_GEL_006_001
mouse_life_stage,Early adult
pvalue,0.2883399
mouse_strain,C57BL
gene_symbol,Ivd
gene_accession_id,MGI:1929242
