gene_symbol,Psmd14
gene_accession_id,MGI:1913284
pvalue,0.868453
mouse_strain,C57BL
parameter_id,JAXLA_DXA_007_001
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
analysis_id,90x6m1l37047oz8
