parameter_name,Stroke Volume
gene_symbol,Kifap3
gene_accession_id,MGI:107566
mouse_strain,C50BL
pvalue,0.4431622
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
analysis_id,292kf5hd895xei9
