parameter_name,Respiration Rate
gene_accession_id,MGI:1919137
mouse_strain,C57BL
pvalue,0.2125538
mouse_life_stage,Early adult
gene_symbol,Ppm1j
analysis_id,al3y52m17x8sy8m
parameter_id,IMPC_ECH_018_001
