parameter_name,White blood cell count
analysis_id,62959280mjr41oh
parameter_id,IMPC_HEM_001_001
mouse_strain,C57BL
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_life_stage,E15.5
pvalue,0.9506661
