parameter_name,Mean cell volume
mouse_life_stage,Early adult
pvalue,0.6582351
analysis_id,2051zl941tdfh58
parameter_id,ESLIM_016_001_005
mouse_strain,C57BL
gene_symbol,Cpa3
gene_accession_id,MGI:88479
