parameter_id,HRWLLA_FEA_015_001
mouse_life_stage,Early adult
parameter_name,Cue Baseline % Freezing Time
mouse_strain,C57BL
pvalue,0.3829172
gene_accession_id,MGI:1914437
gene_symbol,Zmynd19
analysis_id,8pj1nw40hs70800
