Gene_symbol,Dhdds
Analysis_id,g46r9488x91g9g1
Mouse_life_stage,Early adult
Gene_accession_id,MGI:1914672
Pvalue,0.6488405
parameter_id,MGP_IMM_079_001
parameter_name,KLRG1+ Treg cells - % of CD45+
Mouse_strain,C57BL
