gene_symbol,Rap2b
parameter_name,Mean left eye lens density
analysis_id,u154q82k558ogu1
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_056_001
mouse_strain,C57BL
pvalue,0.8217411
