analysis_id,lnukfej6p8prjif
mouse_life_stage,E9.5
pvalue,0.3519023
mouse_strain,C57BL
gene_accession_id,MGI:1328306
parameter_id,IMPC_LDT_006_001
parameter_name,Latency to first transition into dark
gene_symbol,Orc2
