analysis_id,i1xnut709k4tno7
mouse_strain,C57BL
pvalue,0.6202397
mouse_life_stage,Early adult
parameter_id,M-G-P_012_001_005
parameter_name,Body Weight
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
