analysis_id,93690zjh1wx5vhm
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_name,Chloride
parameter_id,IMPC_CBC_003_001
pvalue,0.6354252
