analysis_id,ka13wq0w0vmv33f
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
parameter_id,IMPC_FEA_106_001
pvalue,0.2568358
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
