parameter_name,Triglycerides
parameter_id,HMGULA_CBC_017_001
gene_symbol,Ints7
pvalue,0.8483658
gene_accession_id,MGI:1924315
analysis_id,k24837fhxu0500a
mouse_strain,C57BL
mouse_life_stage,Early adult
