parameter_name,Neutrophil cell count
mouse_life_stage,Early adult
gene_symbol,Gja10
pvalue,0.4195209
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:1339969
analysis_id,56i2z5q3xa42767
