analysis_id,hn87s033dv95549
parameter_id,IMPC_HWT_008_001
mouse_strain,C57BL
pvalue,0.2854272
parameter_name,Heart weight
gene_accession_id,MGI:1339969
mouse_life_stage,Early adult
gene_symbol,Gja10
