analysis_id,3w3k1so0bqp70k6
mouse_strain,C57BL
gene_accession_id,MGI:3588214
gene_symbol,Rufy4
pvalue,0.9155198
parameter_id,IMPC_CBC_006_001
parameter_name,Total protein
mouse_life_stage,Early adult
