gene_symbol,Mov10
pvalue,0.3530543
parameter_name,Fat mass
parameter_id,IMPC_DXA_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,26v4809rp2g50q1
gene_accession_id,MGI:97054
