parameter_name,Limb morphology
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
gene_symbol,Dnajc8
analysis_id,5h2485yl341s97m
pvalue,0.6449459
gene_accession_id,MGI:1915848
mouse_life_stage,Early adult
