gene_symbol,Bdh2
parameter_name,Head morphology
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_CSD_064_001
pvalue,0.7437199
gene_accession_id,MGI:1917022
analysis_id,699t6ds3xfg76f8
