gene_symbol,Lpgat1
analysis_id,rj16kriz12w4j80
mouse_life_stage,Late adult
parameter_name,Lean mass
parameter_id,IMPC_DXA_003_001
gene_accession_id,MGI:2446186
pvalue,0.1299676
mouse_strain,C57BL
