parameter_name,Body position
pvalue,0.3440766
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,ESLIM_008_001_001
analysis_id,253083tk61hd473
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
