gene_symbol,Lcn2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
analysis_id,xtdap46dl50e8q1
parameter_name,Response amplitude - S
pvalue,0.123691
parameter_id,IMPC_ACS_006_001
