analysis_id,3z6663070ca1698
parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
pvalue,0.7938487
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
mouse_strain,C57BL
mouse_life_stage,Early adult
