parameter_name,Snout size
mouse_strain,C57BL
analysis_id,t57uyht566i0fhu
gene_symbol,Wars2
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
parameter_id,IMPC_CSD_028_001
pvalue,0.148731
