analysis_id,686adm94wa5p7j6
gene_symbol,Exd1
pvalue,0.2577813
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_032_001
parameter_name,CD8 CD44+CD62L- T cells
