gene_symbol,Rab13
gene_accession_id,MGI:1927232
pvalue,0.8192915
parameter_name,Placenta Morphology
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
analysis_id,mobyzq30br50093
mouse_strain,C57BL
