gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
parameter_id,IMPC_ECH_003_001
parameter_name,Stroke Volume
pvalue,0.328711
analysis_id,q5v450m17j1yo02
mouse_life_stage,Early adult
mouse_strain,C57BL
