gene_symbol,Toporsl
analysis_id,93i9yr86q37n87o
parameter_name,Eosinophil number
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
pvalue,0.9180218
parameter_id,MGP_PBI_040_001
