parameter_name,Cornea vascularisation
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
gene_symbol,Eprs1
mouse_strain,C57BL
analysis_id,rx6cc1gx588jcr3
parameter_id,ESLIM_014_001_008
pvalue,0.5678262
