analysis_id,5v0ajr762f9srnn
mouse_life_stage,Early adult
pvalue,0.917971
mouse_strain,C57BL
gene_symbol,Rab22a
parameter_id,IMPC_HEM_037_001
parameter_name,Basophil cell count
gene_accession_id,MGI:105072
