gene_symbol,Lurap1
mouse_strain,C57BL
analysis_id,qx8pk166o32vue2
parameter_id,M-G-P_013_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
pvalue,0.5246126
parameter_name,Eye
