gene_symbol,Il1r1
mouse_life_stage,Early adult
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:96545
parameter_id,MGP_MLN_072_001
analysis_id,8585w8896415l31
mouse_strain,C57BL
pvalue,0.9435849
