parameter_name,Total T cell percentage
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
pvalue,0.6808517
parameter_id,MGP_PBI_001_001
mouse_strain,C57BL
analysis_id,t93wp984425d5nx
gene_symbol,Cntfr
