gene_symbol,Atrn
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
parameter_name,CD8+ alpha beta T cell percentage
parameter_id,MGP_PBI_004_001
analysis_id,7b8i23f15hs9875
pvalue,0.2419895
mouse_strain,C57BL
