analysis_id,307h3i695y148cf
mouse_life_stage,Early adult
parameter_name,LVIDd
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
mouse_strain,C57BL
pvalue,0.2394901
parameter_id,IMPC_ECH_008_001
