parameter_name,HDL-cholesterol
gene_accession_id,MGI:87968
parameter_id,HMGULA_CBC_016_001
gene_symbol,Ahcy
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.9299064
analysis_id,r978uu788e6088u
