analysis_id,73ypb61hpv9j40i
parameter_id,IMPC_CSD_012_001
gene_accession_id,MGI:1917810
pvalue,0.4027376
mouse_strain,C57BL
parameter_name,Coat - hair distribution - head
gene_symbol,Wars2
mouse_life_stage,E9.5
