parameter_name,Neutrophil differential count
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2154724
analysis_id,z1ikw6og029b91v
