gene_symbol,F2
gene_accession_id,MGI:88380
parameter_name,Number of centre entries
mouse_life_stage,Early adult
pvalue,0.1356955
mouse_strain,C57BL
analysis_id,y2tf9b81yw7h6gd
parameter_id,ESLIM_007_001_015
