gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
pvalue,0.2494524
mouse_strain,C57BL
parameter_id,MGP_IMM_094_001
analysis_id,57006xe5pw6j8o4
mouse_life_stage,Early adult
