gene_symbol,Slc2a8
parameter_name,Total CD8+ T cells - % of ab T cells
analysis_id,514t8l4ha01xy9b
gene_accession_id,MGI:1860103
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4880241
parameter_id,MGP_IMM_013_001
