parameter_id,IMPC_FEA_106_001
mouse_life_stage,Early adult
analysis_id,f0wh2973p2eb9qf
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_symbol,Dnajc8
pvalue,0.3446886
mouse_strain,C57BL
gene_accession_id,MGI:1915848
