analysis_id,q716784474x5hot
pvalue,0.09091786
gene_symbol,Fgb
mouse_strain,C57BL
parameter_id,MGP_IMM_100_001
parameter_name,Resting NK cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
