analysis_id,1kgx35z75923kf8
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_003_001
pvalue,0.7745734
parameter_name,Chloride
gene_symbol,Gfi1b
mouse_strain,C57BL
