parameter_name,Tibia
gene_accession_id,MGI:1914836
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
pvalue,0.3702813
mouse_life_stage,Early adult
analysis_id,8y7247f9h1uo87s
gene_symbol,Ubxn11
