analysis_id,2718vb4lw392p4e
mouse_strain,C57BL
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
parameter_id,M-G-P_007_001_010
pvalue,0.6639405
parameter_name,center - distance
