parameter_name,Click-evoked ABR threshold
parameter_id,IMPC_ABR_002_001
mouse_strain,C57BL
gene_symbol,Bach2
analysis_id,27625x53045bf5h
pvalue,0.4565368
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
